[[7.64995910e+02 3.67913364e+04]
 [7.65042720e+02 3.66286632e+04]
 [7.65089540e+02 3.59492427e+04]
 [7.65136290e+02 3.48929023e+04]
 [7.65183110e+02 3.19571029e+04]
 [7.65229860e+02 3.61874713e+04]
 [7.65276670e+02 3.75963587e+04]
 [7.65323490e+02 3.99883553e+04]
 [7.65370300e+02 4.18717379e+04]
 [7.65417110e+02 3.87347902e+04]
 [7.65463930e+02 4.07609190e+04]
 [7.65510740e+02 4.51476577e+04]
 [7.65557560e+02 4.50723167e+04]
 [7.65604370e+02 4.25158265e+04]
 [7.65651180e+02 4.38885785e+04]
 [7.65698000e+02 4.85095360e+04]
 [7.65744810e+02 4.96364998e+04]
 [7.65791630e+02 5.12300670e+04]
 [7.65838440e+02 5.60893620e+04]
 [7.65885310e+02 6.21649258e+04]
 [7.65932130e+02 7.02054964e+04]
 [7.65978940e+02 7.38012159e+04]
 [7.66025820e+02 7.59736659e+04]
 [7.66072630e+02 8.71264717e+04]
 [7.66119510e+02 1.14667712e+05]
 [7.66166320e+02 1.69971460e+05]
 [7.66213200e+02 2.41998279e+05]
 [7.66260070e+02 3.40935098e+05]
 [7.66306880e+02 4.76024997e+05]
 [7.66353760e+02 6.62374488e+05]
 [7.66400630e+02 7.68145258e+05]
 [7.66447510e+02 7.94924645e+05]
 [7.66494380e+02 7.24053175e+05]
 [7.66541260e+02 5.61840688e+05]
 [7.66588070e+02 4.02291972e+05]
 [7.66634950e+02 2.53596613e+05]
 [7.66681820e+02 1.82442424e+05]
 [7.66728760e+02 1.29502918e+05]
 [7.66775630e+02 1.07166629e+05]
 [7.66822510e+02 9.30454646e+04]
 [7.66869380e+02 7.61401612e+04]
 [7.66916260e+02 6.75585959e+04]
 [7.66963200e+02 6.43583119e+04]
 [7.67010070e+02 6.42374116e+04]
 [7.67056950e+02 6.82877354e+04]
 [7.67103880e+02 6.38411142e+04]
 [7.67150760e+02 5.30032063e+04]
 [7.67197690e+02 4.50823577e+04]
 [7.67244570e+02 4.75720167e+04]
 [7.67291500e+02 5.07048694e+04]
 [7.67338440e+02 4.63582788e+04]
 [7.67385310e+02 4.19206127e+04]
 [7.67432250e+02 4.03220836e+04]
 [7.67479190e+02 3.70915538e+04]
 [7.67526120e+02 3.76850543e+04]
 [7.67573000e+02 4.24899863e+04]
 [7.67619930e+02 4.31131805e+04]
 [7.67666870e+02 4.08676002e+04]
 [7.67713810e+02 4.03849152e+04]
 [7.67760740e+02 4.17000626e+04]
 [7.67807680e+02 4.35471165e+04]
 [7.67854610e+02 4.45184520e+04]
 [7.67901610e+02 4.10790029e+04]
 [7.67948550e+02 3.49370635e+04]]
